parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat
"delta[Anggraeni, 2021: LR, 6]",-1.8498720988718,0.625894493592861,-3.1021406533943,-2.27293072217521,-1.83368102145086,-1.4260732668692,-0.637931156530831,732.933494636342,2953.13720370315,1.00510819616713
"delta[Anggraeni, 2021: LR, 7]",-1.84625288819664,0.628510719531467,-3.07971634355918,-2.26942651578402,-1.83799729241371,-1.41792176340685,-0.620634980612862,758.958276654889,2291.45267438963,1.00447759919486
"delta[Anggraeni, 2021: LR, 8]",-1.84047918116247,0.626371799465951,-3.05918047131698,-2.26165151917857,-1.84497859163267,-1.41644052569356,-0.636542264638013,756.351000028355,2569.58878386187,1.00418661311518
"delta[Anggraeni, 2021: LSTM, 13]",-1.96241413679863,0.631871192207839,-3.19714351498616,-2.39297142919561,-1.96488675573539,-1.53812445323734,-0.719279811374899,744.566505167591,2513.93548545551,1.00498200601149
"delta[Anggraeni, 2021: LSTM, 14]",-1.96624624531751,0.626417750197544,-3.20130135600359,-2.39164432934167,-1.96134397793035,-1.53873033586304,-0.758712022594787,770.965823232595,2647.65633047522,1.00449066943228
"delta[Anggraeni, 2021: SVM, 1]",-1.82219520689971,0.627258918885918,-3.03748738706836,-2.24825017780612,-1.82777484000744,-1.3974066345549,-0.572087397566761,763.782306646475,2464.16715935202,1.00430418795548
"delta[Anggraeni, 2021: LSTM, 15]",-1.96357297470441,0.626550975179005,-3.19719539395468,-2.37230245564913,-1.96093723321843,-1.54005282263824,-0.730147174200355,757.951699622087,2395.32920722924,1.00519892893498
"delta[Anggraeni, 2021: LSTM, 16]",-1.95990726803188,0.61741220759174,-3.14622416943435,-2.37892722506534,-1.96025910300743,-1.53763363448268,-0.747277618965612,743.175336275774,2606.99310712906,1.00458609819369
"delta[Anggraeni, 2021: SVM, 2]",-1.82224232995454,0.625921575255825,-3.0858339505893,-2.24018092223896,-1.81593802369385,-1.39554788810249,-0.632574881634629,762.156439147513,2315.62862806616,1.00426743473004
"delta[Anggraeni, 2021: SVM, 3]",-1.82108191848945,0.626678015551967,-3.06893305052932,-2.2402410334093,-1.81981997855223,-1.39019595472396,-0.612366546048184,756.462927449745,2497.17091209936,1.00434279290866
"delta[Anggraeni, 2021: SVM, 4]",-1.81942830319422,0.623381055479286,-3.05088132639547,-2.23040340722255,-1.81837996021249,-1.39953848170031,-0.610485326678766,756.778102064693,2683.10137106105,1.00422922635265
"delta[Anggraeni, 2021: LR, 9]",-1.81801600287694,0.629359806255498,-3.07331895396728,-2.23738190127963,-1.81310494261849,-1.40063151843934,-0.582523983322961,750.237253209307,2457.84546201522,1.00475282642649
"delta[Anggraeni, 2021: LR, 10]",-1.82215445288643,0.6303092563684,-3.07168225347377,-2.24962356265924,-1.81843599052791,-1.39770277858685,-0.578473621275336,756.413675824235,2239.40240663418,1.0044484159601
"delta[Anggraeni, 2021: LR, 11]",-1.81987013597299,0.635111386193429,-3.04913436392021,-2.26179213293227,-1.8268737354471,-1.3845594442721,-0.571835184175833,800.095470872894,2479.76075843217,1.00412390754059
"delta[Anggraeni, 2021: LR, 12]",-1.81967416259899,0.622271694651423,-3.02544088505895,-2.24124768192352,-1.81301046216706,-1.39304667003795,-0.61736612317023,730.809545581,2716.06578148584,1.00516282111642
"delta[Anggraeni, 2021: SVM, 5]",-1.77683481746716,0.627301436087391,-3.02680475612253,-2.19623884381431,-1.76863626001962,-1.35460442028016,-0.539867436786981,755.545913606732,2194.9752671725,1.00467324077886
"delta[Anggraeni, 2021: SVM, 6]",-1.77224158886157,0.630624940955621,-3.01256215896159,-2.21316760891822,-1.76895614814845,-1.34485366562776,-0.533899333066421,736.32803269696,2639.57132262223,1.00487679596424
"delta[Anggraeni, 2021: SVM, 7]",-1.77529126583831,0.628494486447817,-3.04688189513947,-2.20226540047754,-1.76207321187511,-1.34006700259629,-0.578506104967714,769.54278716086,2854.99483812446,1.00445667313955
"delta[Anggraeni, 2021: SVM, 8]",-1.77139260615124,0.627607539060472,-2.99436863660805,-2.19617297624853,-1.77382489378896,-1.33507985717961,-0.567733288870249,743.745739109833,2593.05321571195,1.00510566008119
"delta[Anggraeni, 2021: ANN, 1]",-1.77256702374473,0.630583484906191,-3.01681834029424,-2.19946674825439,-1.76767954656681,-1.34675443134853,-0.575580597672052,743.971185513441,2349.0621404539,1.00479765708486
"delta[Anggraeni, 2021: ANN, 2]",-1.76664161397136,0.623840535555075,-3.00330708772413,-2.18789536397557,-1.76651584778005,-1.34452046969969,-0.570931125658584,775.656630550978,2544.89675647891,1.00374274092214
"delta[Anggraeni, 2021: ANN, 3]",-1.76938752568788,0.630235119414033,-3.00708246280997,-2.20050320757813,-1.76908694038178,-1.33826833817289,-0.534202144773989,760.40018870336,2620.84441397461,1.00421093700571
"delta[Anggraeni, 2021: ANN, 4]",-1.76582051942312,0.625401217420777,-2.99325941361916,-2.19961668494965,-1.76740711189265,-1.33075736885811,-0.569657874392128,730.408171150722,2937.53491548249,1.00448013802066
"delta[Anggraeni, 2021: ANN, 5]",-1.76343909264273,0.629808173319086,-3.01553071005237,-2.18507802980879,-1.76410468449882,-1.33787409832733,-0.541603958414659,765.690448950622,2378.34853701385,1.00400105300706
"delta[Anggraeni, 2021: ANN, 6]",-1.76660164891294,0.619364309255124,-3.01472121139387,-2.18195118358487,-1.75624001227634,-1.34997486130647,-0.556418954123916,769.876296409787,2779.88561798344,1.00366458558927
"delta[Anggraeni, 2021: ANN, 7]",-1.76466070903145,0.630965530594768,-3.00431094963348,-2.1847246488007,-1.75437544347472,-1.33783354164387,-0.533377755115036,755.247849485352,2426.16120043755,1.00542356224568
"delta[Anggraeni, 2021: ANN, 8]",-1.76258066899929,0.624235976388921,-2.99027242765277,-2.182705047004,-1.75789247958734,-1.34249100710631,-0.55179978331378,742.311515418765,3117.35698576903,1.00408232742568
"delta[Anggraeni, 2021: ARIMAX, 1]",-1.68819724411932,0.634192793588398,-2.96290298224419,-2.10360410322844,-1.68176745024732,-1.26504230916074,-0.470691905430543,778.46186897859,2317.54198588805,1.0045953357323
